"","gene","Expression_Score","Biology_Score","Druggability_Score","Complement_Evidence","Innate_Sensing_Evidence","Myeloid_Receptor_Evidence","Lupus_Evidence","Known_Target","AI_Target_Score","Target_Class","GWAS_Evidence","Novelty_Score","AI_Target_Score_v2"
"1456","SND1",0.137407434509561,0,0,0,0,0,0,0,-0.211350901837374,"Other",0,0,-0.211350901837374
"1424","CIR1",0.137264296758115,0,0,0,0,0,0,0,-0.211355289564585,"Other",0,0,-0.211355289564585
"1471","TMEM9B",0.136944869181204,0,0,0,0,0,0,0,-0.211365081258651,"Other",0,0,-0.211365081258651
"1048","PCBP1",0.136677572839895,0,0,0,0,0,0,0,-0.211373274928165,"Other",0,0,-0.211373274928165
"1463","SCFD1",0.134691591151444,0,0,0,0,0,0,0,-0.211434152969132,"Other",0,0,-0.211434152969132
"1395","SPOP",0.134474092533897,0,0,0,0,0,0,0,-0.211440820145283,"Other",0,0,-0.211440820145283
"1258","SLA",0.134060127749936,0,0,0,0,0,0,0,-0.211453509771388,"Other",0,0,-0.211453509771388
"1350","RTCB",0.134051945944317,0,0,0,0,0,0,0,-0.211453760575461,"Other",0,0,-0.211453760575461
"1473","POLE3",0.133995892410435,0,0,0,0,0,0,0,-0.211455478833667,"Other",0,0,-0.211455478833667
"1387","GPBP1L1",0.133898976577608,0,0,0,0,0,0,0,-0.211458449679811,"Other",0,0,-0.211458449679811
"1414","ZC3H18",0.133756195485351,0,0,0,0,0,0,0,-0.211462826474035,"Other",0,0,-0.211462826474035
"1464","FAM193A",0.132720076875632,0,0,0,0,0,0,0,-0.211494587527793,"Other",0,0,-0.211494587527793
"912","H3F3B",0.132693759674183,0,0,0,0,0,0,0,-0.211495394252083,"Other",0,0,-0.211495394252083
"1436","BFAR",0.132244371285484,0,0,0,0,0,0,0,-0.211509169749056,"Other",0,0,-0.211509169749056
"1455","HSPA4",0.13058455619004,0,0,0,0,0,0,0,-0.211560049518978,"Other",0,0,-0.211560049518978
"1287","BRD4",0.13039972552389,0,0,0,0,0,0,0,-0.211565715295723,"Other",0,0,-0.211565715295723
"1448","ROCK2",0.129062563701399,0,0,0,0,0,0,0,-0.211606704491485,"Other",0,0,-0.211606704491485
"1160","MTDH",0.128927587521057,0,0,0,0,0,0,0,-0.21161084203489,"Other",0,0,-0.21161084203489
"1430","AP3D1",0.127876818132472,0,0,0,0,0,0,0,-0.21164305219184,"Other",0,0,-0.21164305219184
"1177","ITSN2",0.127698677629386,0,0,0,0,0,0,0,-0.21164851288914,"Other",0,0,-0.21164851288914
"1439","SUGT1",0.127387783501526,0,0,0,0,0,0,0,-0.211658042999897,"Other",0,0,-0.211658042999897
"1368","SERINC1",0.126743460835246,0,0,0,0,0,0,0,-0.21167779398849,"Other",0,0,-0.21167779398849
"1374","CD84",0.126203521203349,0,0,0,0,0,0,0,-0.211694345232251,"Other",0,0,-0.211694345232251
"1426","RNF220",0.12554938642924,0,0,0,0,0,0,0,-0.211714397000002,"Other",0,0,-0.211714397000002
"1172","PRKAR1A",0.124181594629046,0,0,0,0,0,0,0,-0.211756325123374,"Other",0,0,-0.211756325123374
"1470","PRKCSH",0.123960239505369,0,0,0,0,0,0,0,-0.211763110516394,"Other",0,0,-0.211763110516394
"1346","DEK",0.123307399678082,0,0,0,0,0,0,0,-0.211783122589004,"Other",0,0,-0.211783122589004
"831","RPS19",0.122252455052357,0,0,0,0,0,0,0,-0.211815460733165,"Other",0,0,-0.211815460733165
"1007","UBC",0.121282449466408,0,0,0,0,0,0,0,-0.211845195166338,"Other",0,0,-0.211845195166338
"1445","RTFDC1",0.120847780488578,0,0,0,0,0,0,0,-0.211858519456282,"Other",0,0,-0.211858519456282
