"","gene","Expression_Score","Biology_Score","Druggability_Score","Complement_Evidence","Innate_Sensing_Evidence","Myeloid_Receptor_Evidence","Lupus_Evidence","Known_Target","AI_Target_Score","Target_Class","GWAS_Evidence","Novelty_Score","AI_Target_Score_v2"
"63","TGFBI",17.7496667815355,0,0,0,0,0,0,0,0.32853315262437,"Other",0,0,0.32853315262437
"136","SLC43A2",17.4552169283704,0,0,0,0,0,0,0,0.319507122662501,"Other",0,0,0.319507122662501
"130","FCGR2A",17.2806928805995,0,0,0,0,0,0,0,0.314157283743196,"Other",0,0,0.314157283743196
"41","LYZ",17.0345405308193,0,0,0,0,0,0,0,0.306611759571871,"Other",0,0,0.306611759571871
"161","RP11-1143G9.4",17.0099823521312,0,0,0,0,0,0,0,0.305858956151306,"Other",0,0,0.305858956151306
"153","ALDH3B1",16.9560525118739,0,0,0,0,0,0,0,0.304205797391781,"Other",0,0,0.304205797391781
"178","SLC2A6",16.8808401511312,0,0,0,0,0,0,0,0.301900246839559,"Other",0,0,0.301900246839559
"61","SLC7A7",16.7011799224897,0,0,0,0,0,0,0,0.29639296405696,"Other",0,0,0.29639296405696
"183","LTBR",16.4884527397555,0,0,0,0,0,0,0,0.289872050888139,"Other",0,0,0.289872050888139
"14","CYBB",16.4541145100897,0,0,0,0,0,0,0,0.288819450975217,"Other",0,0,0.288819450975217
"102","EPB41L3",16.2444941505398,0,0,0,0,0,0,0,0.282393773986159,"Other",0,0,0.282393773986159
"258","NLN",16.1874364531288,0,0,0,0,0,0,0,0.280644734274127,"Other",0,0,0.280644734274127
"215","DRAM1",15.8839901762592,0,0,0,0,0,0,0,0.271342929034964,"Other",0,0,0.271342929034964
"266","LHFPL2",15.6605031853566,0,0,0,0,0,0,0,0.264492186016107,"Other",0,0,0.264492186016107
"181","HNMT",15.4835253076372,0,0,0,0,0,0,0,0.259067127692211,"Other",0,0,0.259067127692211
"127","LMO2",15.2250873533002,0,0,0,0,0,0,0,0.251145002094067,"Other",0,0,0.251145002094067
"269","IL1B",15.1850433716683,0,0,0,0,0,0,0,0.249917498754815,"Other",0,0,0.249917498754815
"220","RGL1",15.1605323179886,0,0,0,0,0,0,0,0.249166139898521,"Other",0,0,0.249166139898521
"197","NPL",15.158499456218,0,0,0,0,0,0,0,0.249103824801223,"Other",0,0,0.249103824801223
"164","P2RY13",14.8328681342578,0,0,0,0,0,0,0,0.239121961889959,"Other",0,0,0.239121961889959
"71","TTYH3",14.602023332713,0,0,0,0,0,0,0,0.232045673439184,"Other",0,0,0.232045673439184
"233","CSF3R",14.1401538180241,0,0,0,0,0,0,0,0.217887581549364,"Other",0,0,0.217887581549364
"107","ETS2",14.0329903823793,0,0,0,0,0,0,0,0.214602606635814,"Other",0,0,0.214602606635814
"176","BLVRB",13.8482194934563,0,0,0,0,0,0,0,0.208938662294957,"Other",0,0,0.208938662294957
"200","CHST15",13.8241306756785,0,0,0,0,0,0,0,0.208200246606611,"Other",0,0,0.208200246606611
"286","JDP2",13.6930547376915,0,0,0,0,0,0,0,0.204182260756616,"Other",0,0,0.204182260756616
"106","CD86",13.4160497083008,0,0,0,0,0,0,0,0.195690982299545,"Other",0,0,0.195690982299545
"150","MS4A6A",13.1295917446102,0,0,0,0,0,0,0,0.186909934744948,"Other",0,0,0.186909934744948
"74","RAB31",13.0115098008903,0,0,0,0,0,0,0,0.183290265213739,"Other",0,0,0.183290265213739
"36","MARCKS",12.9606347252383,0,0,0,0,0,0,0,0.181730746836631,"Other",0,0,0.181730746836631
"252","EPS8",12.5856769513524,0,0,0,0,0,0,0,0.170236836871488,"Other",0,0,0.170236836871488
"260","SULT1A1",12.3743769768509,0,0,0,0,0,0,0,0.163759673170125,"Other",0,0,0.163759673170125
"138","ARRB1",12.318496133662,0,0,0,0,0,0,0,0.162046708604188,"Other",0,0,0.162046708604188
"241","LGMN",11.9982387269326,0,0,0,0,0,0,0,0.152229577036359,"Other",0,0,0.152229577036359
"250","SORT1",11.9214243552869,0,0,0,0,0,0,0,0.149874918636894,"Other",0,0,0.149874918636894
"154","ZFHX3",11.8824538848347,0,0,0,0,0,0,0,0.14868032257869,"Other",0,0,0.14868032257869
"257","GNB4",11.7594837782347,0,0,0,0,0,0,0,0.144910811897485,"Other",0,0,0.144910811897485
"171","FGD4",11.716270203909,0,0,0,0,0,0,0,0.143586148249564,"Other",0,0,0.143586148249564
"92","KCTD12",11.6902456263229,0,0,0,0,0,0,0,0.142788394015653,"Other",0,0,0.142788394015653
"94","RHOB",11.6635470214274,0,0,0,0,0,0,0,0.141969978230634,"Other",0,0,0.141969978230634
"211","CPPED1",11.6615054807081,0,0,0,0,0,0,0,0.141907397089899,"Other",0,0,0.141907397089899
"231","ABCA1",11.5692974104621,0,0,0,0,0,0,0,0.139080862127084,"Other",0,0,0.139080862127084
"235","MGLL",11.5429276015937,0,0,0,0,0,0,0,0.138272525215464,"Other",0,0,0.138272525215464
"24","CST3",11.3129920987785,0,0,0,0,0,0,0,0.131224110297274,"Other",0,0,0.131224110297274
"180","ANPEP",11.3034579958636,0,0,0,0,0,0,0,0.130931853066903,"Other",0,0,0.130931853066903
"142","SIDT2",11.2044773016695,0,0,0,0,0,0,0,0.127897710913872,"Other",0,0,0.127897710913872
"221","SLC43A3",11.1989067344144,0,0,0,0,0,0,0,0.127726951423217,"Other",0,0,0.127726951423217
"259","CD302",11.1076525389157,0,0,0,0,0,0,0,0.124929656420815,"Other",0,0,0.124929656420815
"287","BCAT1",10.997664909608,0,0,0,0,0,0,0,0.121558109018446,"Other",0,0,0.121558109018446
"302","PTAFR",10.8912796214089,0,0,0,0,0,0,0,0.118296987341987,"Other",0,0,0.118296987341987
"172","SIGLEC10",10.8668565788415,0,0,0,0,0,0,0,0.117548326367618,"Other",0,0,0.117548326367618
"151","LILRB1",10.8251098797033,0,0,0,0,0,0,0,0.116268628133166,"Other",0,0,0.116268628133166
"83","NAMPT",10.7338019773589,0,0,0,0,0,0,0,0.113469686807649,"Other",0,0,0.113469686807649
"51","CEBPB",10.7125014238543,0,0,0,0,0,0,0,0.112816742232979,"Other",0,0,0.112816742232979
"213","MPP1",10.5893458369276,0,0,0,0,0,0,0,0.109041545860412,"Other",0,0,0.109041545860412
"298","GAB2",10.5277556533157,0,0,0,0,0,0,0,0.107153567868023,"Other",0,0,0.107153567868023
"132","FCGRT",10.2740632052857,0,0,0,0,0,0,0,0.0993769104426443,"Other",0,0,0.0993769104426443
"98","RNF130",10.243275159896,0,0,0,0,0,0,0,0.0984331374464334,"Other",0,0,0.0984331374464334
"198","FAM26F",9.96253758257906,0,0,0,0,0,0,0,0.0898274419195157,"Other",0,0,0.0898274419195157
"170","PLXDC2",9.84944289941645,0,0,0,0,0,0,0,0.0863606512664351,"Other",0,0,0.0863606512664351
"214","CPM",9.56696564291109,0,0,0,0,0,0,0,0.0777016278254083,"Other",0,0,0.0777016278254083
"248","CREG1",9.5662917641143,0,0,0,0,0,0,0,0.0776809708267882,"Other",0,0,0.0776809708267882
"288","KIAA1598",9.53049986809159,0,0,0,0,0,0,0,0.0765838104022868,"Other",0,0,0.0765838104022868
"227","BLVRA",9.45784112138702,0,0,0,0,0,0,0,0.0743565380239932,"Other",0,0,0.0743565380239932
"135","DOK3",9.44677555464088,0,0,0,0,0,0,0,0.074017335487731,"Other",0,0,0.074017335487731
"149","ADRBK2",9.20354892119757,0,0,0,0,0,0,0,0.066561495868913,"Other",0,0,0.066561495868913
"112","RXRA",9.20103478491281,0,0,0,0,0,0,0,0.0664844278412316,"Other",0,0,0.0664844278412316
"237","EVI5",9.19894460282994,0,0,0,0,0,0,0,0.0664203556540561,"Other",0,0,0.0664203556540561
"321","ACP2",9.13367831566278,0,0,0,0,0,0,0,0.0644196908306973,"Other",0,0,0.0644196908306973
"143","TNFSF13B",9.0745589032443,0,0,0,0,0,0,0,0.0626074515577571,"Other",0,0,0.0626074515577571
"293","CNTLN",8.95230051757382,0,0,0,0,0,0,0,0.0588597578833014,"Other",0,0,0.0588597578833014
"276","GAA",8.90391778765848,0,0,0,0,0,0,0,0.0573766395690669,"Other",0,0,0.0573766395690669
"147","FGD2",8.82500936318019,0,0,0,0,0,0,0,0.0549577903289367,"Other",0,0,0.0549577903289367
"199","MNDA",8.47476037347529,0,0,0,0,0,0,0,0.0442213004268085,"Other",0,0,0.0442213004268085
"97","IFNGR2",8.40000488293321,0,0,0,0,0,0,0,0.0419297547181114,"Other",0,0,0.0419297547181114
"273","DOCK5",8.25020407756879,0,0,0,0,0,0,0,0.0373377790625046,"Other",0,0,0.0373377790625046
"238","CDKN1A",8.10733342705693,0,0,0,0,0,0,0,0.0329582395302894,"Other",0,0,0.0329582395302894
"188","SCIMP",7.99207672694626,0,0,0,0,0,0,0,0.0294251746728189,"Other",0,0,0.0294251746728189
"359","DENND5A",7.98363111538404,0,0,0,0,0,0,0,0.0291662839238935,"Other",0,0,0.0291662839238935
"226","UNC93B1",7.9305247520275,0,0,0,0,0,0,0,0.0275383679250591,"Other",0,0,0.0275383679250591
"332","RGS12",7.89736498722602,0,0,0,0,0,0,0,0.0265218925306601,"Other",0,0,0.0265218925306601
"243","CYFIP1",7.73898545026817,0,0,0,0,0,0,0,0.0216669454808931,"Other",0,0,0.0216669454808931
"79","TIMP1",7.67275277149555,0,0,0,0,0,0,0,0.0196366570068784,"Other",0,0,0.0196366570068784
"82","CCDC88A",7.6346014151967,0,0,0,0,0,0,0,0.0184671699742384,"Other",0,0,0.0184671699742384
"29","IFI30",7.61841515806599,0,0,0,0,0,0,0,0.0179709984181591,"Other",0,0,0.0179709984181591
"219","YBX3",7.55457085189943,0,0,0,0,0,0,0,0.0160139228273251,"Other",0,0,0.0160139228273251
"173","CEBPD",7.54503826057533,0,0,0,0,0,0,0,0.015721711933074,"Other",0,0,0.015721711933074
"190","BID",7.52022914259829,0,0,0,0,0,0,0,0.0149612162500868,"Other",0,0,0.0149612162500868
"217","CD83",7.51696556724004,0,0,0,0,0,0,0,0.0148611750082598,"Other",0,0,0.0148611750082598
"284","STXBP2",7.48256540335646,0,0,0,0,0,0,0,0.0138066765713655,"Other",0,0,0.0138066765713655
"37","FCER1G",7.46449683422617,0,0,0,0,0,0,0,0.0132528048523444,"Other",0,0,0.0132528048523444
"177","SCARB2",7.43636502998766,0,0,0,0,0,0,0,0.0123904559490973,"Other",0,0,0.0123904559490973
"309","SOX4",7.38381726564629,0,0,0,0,0,0,0,0.0107796631764875,"Other",0,0,0.0107796631764875
"268","BCL2A1",7.29598429609992,0,0,0,0,0,0,0,0.0080872420180337,"Other",0,0,0.0080872420180337
"283","NAGA",7.28148319853435,0,0,0,0,0,0,0,0.00764272713816585,"Other",0,0,0.00764272713816585
"202","RBM47",7.26777367079197,0,0,0,0,0,0,0,0.00722247694331726,"Other",0,0,0.00722247694331726
"56","DUSP6",7.24966330738231,0,0,0,0,0,0,0,0.00666732406754308,"Other",0,0,0.00666732406754308
"329","KDM1B",7.18706989927353,0,0,0,0,0,0,0,0.00474859335352738,"Other",0,0,0.00474859335352738
"308","JUP",7.13177827191973,0,0,0,0,0,0,0,0.00305369053808603,"Other",0,0,0.00305369053808603
"360","CMKLR1",7.12513690828745,0,0,0,0,0,0,0,0.00285010698561276,"Other",0,0,0.00285010698561276
"96","NPC2",7.10038493042095,0,0,0,0,0,0,0,0.00209136286861939,"Other",0,0,0.00209136286861939
"117","TYMP",7.08549589306039,0,0,0,0,0,0,0,0.00163495612949166,"Other",0,0,0.00163495612949166
"296","SBF2",7.05707204051195,0,0,0,0,0,0,0,0.000763654812896596,"Other",0,0,0.000763654812896596
"334","TMEM176B",7.05560185580152,0,0,0,0,0,0,0,0.000718587949717086,"Other",0,0,0.000718587949717086
"344","LY96",7.00801244757917,0,0,0,0,0,0,0,-0.00074021197789444,"Other",0,0,-0.00074021197789444
"30","TYROBP",6.87006585513285,0,0,0,0,0,0,0,-0.00496881003346855,"Other",0,0,-0.00496881003346855
"101","BRI3",6.73256906153076,0,0,0,0,0,0,0,-0.00918362001001609,"Other",0,0,-0.00918362001001609
"301","SLC16A3",6.67386094149393,0,0,0,0,0,0,0,-0.0109832515763467,"Other",0,0,-0.0109832515763467
"175","PRKACA",6.64491113953116,0,0,0,0,0,0,0,-0.0118706752822759,"Other",0,0,-0.0118706752822759
"380","C9orf72",6.63780866445506,0,0,0,0,0,0,0,-0.0120883936888269,"Other",0,0,-0.0120883936888269
"249","NR4A1",6.51255753826781,0,0,0,0,0,0,0,-0.0159278264668418,"Other",0,0,-0.0159278264668418
"343","KYNU",6.50127842282057,0,0,0,0,0,0,0,-0.0162735750989973,"Other",0,0,-0.0162735750989973
"255","ARAP1",6.47118197058089,0,0,0,0,0,0,0,-0.0171961480829578,"Other",0,0,-0.0171961480829578
"93","FGL2",6.43297519039809,0,0,0,0,0,0,0,-0.0183673340725907,"Other",0,0,-0.0183673340725907
"168","WARS",6.37812584602394,0,0,0,0,0,0,0,-0.0200486791994035,"Other",0,0,-0.0200486791994035
"386","ENG",6.3718617580299,0,0,0,0,0,0,0,-0.0202406977903799,"Other",0,0,-0.0202406977903799
"251","RASSF4",6.35596702154451,0,0,0,0,0,0,0,-0.020727933108078,"Other",0,0,-0.020727933108078
"111","GNS",6.28136713491143,0,0,0,0,0,0,0,-0.0230147089534868,"Other",0,0,-0.0230147089534868
"390","HEATR3",6.24734340850939,0,0,0,0,0,0,0,-0.0240576681216379,"Other",0,0,-0.0240576681216379
"267","BCL6",6.20590224666228,0,0,0,0,0,0,0,-0.0253280004531565,"Other",0,0,-0.0253280004531565
"272","PAK1",6.14721047738408,0,0,0,0,0,0,0,-0.0271271308053222,"Other",0,0,-0.0271271308053222
"310","TLR1",6.0900110520404,0,0,0,0,0,0,0,-0.02888051502815,"Other",0,0,-0.02888051502815
"317","RASGEF1B",6.07697070775863,0,0,0,0,0,0,0,-0.0292802521546426,"Other",0,0,-0.0292802521546426
"313","ACSL1",5.92787598110544,0,0,0,0,0,0,0,-0.0338505837593711,"Other",0,0,-0.0338505837593711
"327","NINJ1",5.9029279349672,0,0,0,0,0,0,0,-0.0346153381293031,"Other",0,0,-0.0346153381293031
"412","IER3",5.89584227424439,0,0,0,0,0,0,0,-0.0348325411107148,"Other",0,0,-0.0348325411107148
"152","MARCH1",5.85473333763793,0,0,0,0,0,0,0,-0.0360926894501414,"Other",0,0,-0.0360926894501414
"160","MTSS1",5.8502146806636,0,0,0,0,0,0,0,-0.0362312038110733,"Other",0,0,-0.0362312038110733
"312","GAS7",5.83955345271026,0,0,0,0,0,0,0,-0.0365580117951928,"Other",0,0,-0.0365580117951928
"236","CCR1",5.77181666102784,0,0,0,0,0,0,0,-0.0386344071632811,"Other",0,0,-0.0386344071632811
"166","ITGAX",5.76111181951899,0,0,0,0,0,0,0,-0.0389625520720231,"Other",0,0,-0.0389625520720231
"372","LRRK2",5.7505631098278,0,0,0,0,0,0,0,-0.0392859109350292,"Other",0,0,-0.0392859109350292
"204","KIAA0930",5.74155661960673,0,0,0,0,0,0,0,-0.0395619947900991,"Other",0,0,-0.0395619947900991
"121","C1orf162",5.73920148587655,0,0,0,0,0,0,0,-0.0396341887728242,"Other",0,0,-0.0396341887728242
"384","SCPEP1",5.73073152721981,0,0,0,0,0,0,0,-0.0398938258546218,"Other",0,0,-0.0398938258546218
"285","TBXAS1",5.70681982544282,0,0,0,0,0,0,0,-0.0406268122506359,"Other",0,0,-0.0406268122506359
"81","GRN",5.70446080213915,0,0,0,0,0,0,0,-0.0406991254638735,"Other",0,0,-0.0406991254638735
"222","LGALS3",5.6306886851104,0,0,0,0,0,0,0,-0.0429605269605777,"Other",0,0,-0.0429605269605777
"126","NFKBIZ",5.61985857581194,0,0,0,0,0,0,0,-0.0432925118128961,"Other",0,0,-0.0432925118128961
"322","LGALS3BP",5.54822437778534,0,0,0,0,0,0,0,-0.0454883778007115,"Other",0,0,-0.0454883778007115
"307","GSN",5.51645243179069,0,0,0,0,0,0,0,-0.046462311166315,"Other",0,0,-0.046462311166315
"348","ZSWIM6",5.46318275734587,0,0,0,0,0,0,0,-0.0480952332833731,"Other",0,0,-0.0480952332833731
"70","LYN",5.42947779100926,0,0,0,0,0,0,0,-0.0491284212192742,"Other",0,0,-0.0491284212192742
"278","FNIP2",5.42777466944889,0,0,0,0,0,0,0,-0.0491806285003013,"Other",0,0,-0.0491806285003013
"352","LACTB",5.39944117659529,0,0,0,0,0,0,0,-0.0500491599418081,"Other",0,0,-0.0500491599418081
"210","GRINA",5.31101578269613,0,0,0,0,0,0,0,-0.0527597412042694,"Other",0,0,-0.0527597412042694
"99","FCGR3A",5.2973848317255,0,0,0,0,0,0,0,-0.0531775827163201,"Other",0,0,-0.0531775827163201
"245","MFSD1",5.2470020695792,0,0,0,0,0,0,0,-0.0547220097751414,"Other",0,0,-0.0547220097751414
"347","SGK1",5.24003288892379,0,0,0,0,0,0,0,-0.0549356421907438,"Other",0,0,-0.0549356421907438
"279","FAM49A",5.22518596990238,0,0,0,0,0,0,0,-0.0553907578394298,"Other",0,0,-0.0553907578394298
"350","CTNND1",5.1635714677778,0,0,0,0,0,0,0,-0.0572794812885467,"Other",0,0,-0.0572794812885467
"393","C15orf39",5.12273006492011,0,0,0,0,0,0,0,-0.0585314286809998,"Other",0,0,-0.0585314286809998
"408","PPM1F",5.09525223197817,0,0,0,0,0,0,0,-0.0593737308277156,"Other",0,0,-0.0593737308277156
"280","LAIR1",5.02828619785604,0,0,0,0,0,0,0,-0.0614264994873585,"Other",0,0,-0.0614264994873585
"289","METRNL",5.00387785973424,0,0,0,0,0,0,0,-0.0621747097134415,"Other",0,0,-0.0621747097134415
"394","RNASE6",4.9212758499665,0,0,0,0,0,0,0,-0.0647067816674936,"Other",0,0,-0.0647067816674936
"256","OAZ2",4.91996188789513,0,0,0,0,0,0,0,-0.0647470597009092,"Other",0,0,-0.0647470597009092
"50","IFITM3",4.91894040962286,0,0,0,0,0,0,0,-0.0647783719715447,"Other",0,0,-0.0647783719715447
"403","RELT",4.89723621600438,0,0,0,0,0,0,0,-0.0654436896811402,"Other",0,0,-0.0654436896811402
"416","KIAA0513",4.87724924980123,0,0,0,0,0,0,0,-0.0660563677105475,"Other",0,0,-0.0660563677105475
"338","ITPRIPL2",4.85913073280463,0,0,0,0,0,0,0,-0.0666117705253833,"Other",0,0,-0.0666117705253833
"346","COLGALT1",4.85225410370395,0,0,0,0,0,0,0,-0.0668225658768915,"Other",0,0,-0.0668225658768915
"440","GPR137B",4.78870909958249,0,0,0,0,0,0,0,-0.0687704666992623,"Other",0,0,-0.0687704666992623
"409","CSF2RB",4.73268657124159,0,0,0,0,0,0,0,-0.0704877744646053,"Other",0,0,-0.0704877744646053
"445","EHBP1L1",4.69557990951177,0,0,0,0,0,0,0,-0.0716252375570744,"Other",0,0,-0.0716252375570744
"91","CTSB",4.66411309706462,0,0,0,0,0,0,0,-0.0725898173960502,"Other",0,0,-0.0725898173960502
"165","GLUL",4.65150560947095,0,0,0,0,0,0,0,-0.072976285786308,"Other",0,0,-0.072976285786308
"203","RGS2",4.63868885883302,0,0,0,0,0,0,0,-0.0733691689004554,"Other",0,0,-0.0733691689004554
"402","P2RX4",4.63573729833286,0,0,0,0,0,0,0,-0.0734596456767972,"Other",0,0,-0.0734596456767972
"457","HSPA1B",4.62792956525657,0,0,0,0,0,0,0,-0.0736989829762501,"Other",0,0,-0.0736989829762501
"469","PLOD3",4.58844289756858,0,0,0,0,0,0,0,-0.0749094024816939,"Other",0,0,-0.0749094024816939
"323","BACH1",4.57569669938897,0,0,0,0,0,0,0,-0.0753001228893709,"Other",0,0,-0.0753001228893709
"496","ATP6V0A1",4.54764916222021,0,0,0,0,0,0,0,-0.0761598886801178,"Other",0,0,-0.0761598886801178
"410","LY86",4.52078022642375,0,0,0,0,0,0,0,-0.0769835257678443,"Other",0,0,-0.0769835257678443
"473","EHD4",4.51249456816462,0,0,0,0,0,0,0,-0.0772375133276843,"Other",0,0,-0.0772375133276843
"340","IFI27",4.49276562860939,0,0,0,0,0,0,0,-0.0778422818396305,"Other",0,0,-0.0778422818396305
"400","IL13RA1",4.47921465373758,0,0,0,0,0,0,0,-0.0782576717740816,"Other",0,0,-0.0782576717740816
"428","DSE",4.45733307014983,0,0,0,0,0,0,0,-0.0789284271742056,"Other",0,0,-0.0789284271742056
"342","PLEKHO2",4.43961962551321,0,0,0,0,0,0,0,-0.0794714129502194,"Other",0,0,-0.0794714129502194
"162","VASP",4.43555763377959,0,0,0,0,0,0,0,-0.0795959287504426,"Other",0,0,-0.0795959287504426
"145","NAGK",4.41859762868391,0,0,0,0,0,0,0,-0.0801158186824687,"Other",0,0,-0.0801158186824687
"500","CORO1C",4.41168934060581,0,0,0,0,0,0,0,-0.0803275845044172,"Other",0,0,-0.0803275845044172
"330","CD180",4.39298225349598,0,0,0,0,0,0,0,-0.08090102927587,"Other",0,0,-0.08090102927587
"169","ASAH1",4.38797613329886,0,0,0,0,0,0,0,-0.0810544862751052,"Other",0,0,-0.0810544862751052
"448","TRIB1",4.33968597504524,0,0,0,0,0,0,0,-0.0825347669088879,"Other",0,0,-0.0825347669088879
"254","HLA-DRB5",4.24585339269595,0,0,0,0,0,0,0,-0.0854110994679985,"Other",0,0,-0.0854110994679985
"502","PLAGL2",4.23762955085058,0,0,0,0,0,0,0,-0.0856631921150148,"Other",0,0,-0.0856631921150148
"370","DAB2",4.21784462592584,0,0,0,0,0,0,0,-0.0862696767956639,"Other",0,0,-0.0862696767956639
"396","RALB",4.20858722880033,0,0,0,0,0,0,0,-0.0865534519204453,"Other",0,0,-0.0865534519204453
"337","SNX9",4.20165497154649,0,0,0,0,0,0,0,-0.0867659524905897,"Other",0,0,-0.0867659524905897
"423","LYL1",4.16945100409296,0,0,0,0,0,0,0,-0.0877531289894129,"Other",0,0,-0.0877531289894129
"209","HSPA1A",4.13774844285933,0,0,0,0,0,0,0,-0.0887249354429971,"Other",0,0,-0.0887249354429971
"281","IFNGR1",4.12525832415889,0,0,0,0,0,0,0,-0.0891078060214864,"Other",0,0,-0.0891078060214864
"239","THEMIS2",4.0879380305845,0,0,0,0,0,0,0,-0.0902518177585183,"Other",0,0,-0.0902518177585183
"191","TKT",4.08552918093118,0,0,0,0,0,0,0,-0.0903256583426136,"Other",0,0,-0.0903256583426136
"387","LFNG",4.04528442519658,0,0,0,0,0,0,0,-0.0915593161867724,"Other",0,0,-0.0915593161867724
"456","AMPD2",3.98174583358686,0,0,0,0,0,0,0,-0.0935070204407887,"Other",0,0,-0.0935070204407887
"417","ALOX5",3.96266220896015,0,0,0,0,0,0,0,-0.0940920075474564,"Other",0,0,-0.0940920075474564
"465","SLC39A1",3.94741670388361,0,0,0,0,0,0,0,-0.0945593414045649,"Other",0,0,-0.0945593414045649
"229","PIK3AP1",3.90275179521831,0,0,0,0,0,0,0,-0.0959284940786909,"Other",0,0,-0.0959284940786909
"512","UNC119",3.86305416745755,0,0,0,0,0,0,0,-0.09714538032853,"Other",0,0,-0.09714538032853
"355","GIMAP8",3.85074294440175,0,0,0,0,0,0,0,-0.0975227670617017,"Other",0,0,-0.0975227670617017
"234","PRKCD",3.84934024300713,0,0,0,0,0,0,0,-0.0975657652995315,"Other",0,0,-0.0975657652995315
"454","ATG7",3.79460298349825,0,0,0,0,0,0,0,-0.099243674590526,"Other",0,0,-0.099243674590526
"304","HSBP1",3.79133213906995,0,0,0,0,0,0,0,-0.0993439386575416,"Other",0,0,-0.0993439386575416
"450","CAMKK2",3.78040710623598,0,0,0,0,0,0,0,-0.0996788332843645,"Other",0,0,-0.0996788332843645
"434","TPD52L2",3.74187629223846,0,0,0,0,0,0,0,-0.100859952167116,"Other",0,0,-0.100859952167116
"427","NUDT16",3.72754325558484,0,0,0,0,0,0,0,-0.101299315328244,"Other",0,0,-0.101299315328244
"369","PLIN3",3.7164452657976,0,0,0,0,0,0,0,-0.101639511756462,"Other",0,0,-0.101639511756462
"297","LIPA",3.68687018536077,0,0,0,0,0,0,0,-0.102546102672633,"Other",0,0,-0.102546102672633
"244","AP1S2",3.6795292490754,0,0,0,0,0,0,0,-0.102771130840071,"Other",0,0,-0.102771130840071
"335","OGFRL1",3.67596457196482,0,0,0,0,0,0,0,-0.102880402018367,"Other",0,0,-0.102880402018367
"494","DST",3.67528828770404,0,0,0,0,0,0,0,-0.102901132753787,"Other",0,0,-0.102901132753787
"395","OSBPL11",3.63733501644187,0,0,0,0,0,0,0,-0.104064547711821,"Other",0,0,-0.104064547711821
"467","MT-TM",3.63345483570241,0,0,0,0,0,0,0,-0.104183490299958,"Other",0,0,-0.104183490299958
"411","MPDU1",3.62026000205067,0,0,0,0,0,0,0,-0.104587963124794,"Other",0,0,-0.104587963124794
"270","CUX1",3.5927560935167,0,0,0,0,0,0,0,-0.105431064589534,"Other",0,0,-0.105431064589534
"185","APLP2",3.54199418542114,0,0,0,0,0,0,0,-0.106987113942139,"Other",0,0,-0.106987113942139
"532","KIF1B",3.54130828083412,0,0,0,0,0,0,0,-0.107008139577869,"Other",0,0,-0.107008139577869
"361","LINC00936",3.52414338395455,0,0,0,0,0,0,0,-0.107534310237701,"Other",0,0,-0.107534310237701
"247","SOD2",3.51329156885119,0,0,0,0,0,0,0,-0.107866960457121,"Other",0,0,-0.107866960457121
"453","OTUD1",3.49739329026274,0,0,0,0,0,0,0,-0.108354304354016,"Other",0,0,-0.108354304354016
"341","DPYSL2",3.48667086231273,0,0,0,0,0,0,0,-0.108682988355385,"Other",0,0,-0.108682988355385
"519","DUSP3",3.48583601379037,0,0,0,0,0,0,0,-0.108708579700381,"Other",0,0,-0.108708579700381
"406","PLXNC1",3.47594283672426,0,0,0,0,0,0,0,-0.109011843946082,"Other",0,0,-0.109011843946082
"509","PNPLA6",3.45747269316554,0,0,0,0,0,0,0,-0.109578025478757,"Other",0,0,-0.109578025478757
"189","SDCBP",3.43674074568488,0,0,0,0,0,0,0,-0.110213540073574,"Other",0,0,-0.110213540073574
"405","CORO1B",3.40215385668362,0,0,0,0,0,0,0,-0.1112737623595,"Other",0,0,-0.1112737623595
"464","RTN3",3.31751464322335,0,0,0,0,0,0,0,-0.113868282507598,"Other",0,0,-0.113868282507598
"328","SH2B3",3.31044583545907,0,0,0,0,0,0,0,-0.11408496888047,"Other",0,0,-0.11408496888047
"498","HAVCR2",3.29838510980583,0,0,0,0,0,0,0,-0.114454676896751,"Other",0,0,-0.114454676896751
"192","CD4",3.28827879428817,0,0,0,0,0,0,0,-0.114764474662605,"Other",0,0,-0.114764474662605
"544","EPB41L2",3.28751527898375,0,0,0,0,0,0,0,-0.11478787936782,"Other",0,0,-0.11478787936782
"458","MAP3K11",3.28183664271398,0,0,0,0,0,0,0,-0.114961951592895,"Other",0,0,-0.114961951592895
"429","YPEL2",3.27786258364474,0,0,0,0,0,0,0,-0.115083771915927,"Other",0,0,-0.115083771915927
"574","FRMD4B",3.23570807478573,0,0,0,0,0,0,0,-0.116375971099929,"Other",0,0,-0.116375971099929
"495","MTHFD2",3.22781965194079,0,0,0,0,0,0,0,-0.116617781853729,"Other",0,0,-0.116617781853729
"588","ACTN1",3.21790100712698,0,0,0,0,0,0,0,-0.116921826784668,"Other",0,0,-0.116921826784668
"125","ZEB2",3.21598162379234,0,0,0,0,0,0,0,-0.116980663327803,"Other",0,0,-0.116980663327803
"533","MAFG",3.19895546090182,0,0,0,0,0,0,0,-0.117502581252819,"Other",0,0,-0.117502581252819
"116","POU2F2",3.19574986320565,0,0,0,0,0,0,0,-0.11760084525445,"Other",0,0,-0.11760084525445
"543","TMEM106A",3.19364879516273,0,0,0,0,0,0,0,-0.117665251138519,"Other",0,0,-0.117665251138519
